,ABV,Coin,Price
203,SYS,Syscoin,$0.113017
204,NULS,Nuls,$1.52
205,GAS,Gas,$5.89
206,ENG,Enigma,$0.779423
207,DROP,Dropil,$0.002607
208,VERI,Veritaseum,$26.94
209,ODE,ODEM,$0.300233
210,DENT,Dent,$0.003101
211,BIX,Bibox Token,$0.494171
212,DAI,Dai,$1.00
213,NXS,Nexus,$0.814583
214,ICN,Iconomi,$0.475551
215,DRGN,Dragonchain,$0.195399
216,ETN,Electroneum,$0.005919
217,FCT,Factom,$5.23
218,SMART,SmartCash,$0.042937
219,SKY,Skycoin,$4.51
220,GTO,Gifto,$0.084083
221,PZM,PRIZM,$0.773687
222,CVC,Civic,$0.125400
223,GRS,Groestlcoin,$0.604922
224,ETHOS,Ethos,$0.508396
225,STORJ,Storj,$0.293323
226,STORM,Storm,$0.008771
227,DIG,Dignity,$0.075531
228,SAN,Santiment Net...,$0.615169
229,CENNZ,Centrality,$0.048482
230,NOAH,Noah Coin,$0.001139
231,SALT,SALT,$0.514812
232,IGNIS,Ignis,$0.048054
233,WICC,WaykiChain,$0.207015
234,WAB,WABnetwork,$0.003932
235,MAN,Matrix AI Net...,$0.233807
236,RVN,Ravencoin,$0.020672
237,FSN,Fusion,$1.18
238,REQ,Request Network,$0.047189
239,NEXO,Nexo,$0.060936
240,RLC,iExec RLC,$0.426111
241,VTC,Vertcoin,$0.742835
242,HPB,High Performa...,$0.907356
243,ZCL,ZClassic,$7.11
244,CVT,CyberVein,$0.031718
245,GNO,Gnosis,$30.26
246,DDD,Scry.info,$0.075394
247,CRPT,Crypterium,$0.410523
248,NTY,Nexty,$0.000221
249,BRD,Bread,$0.355680
250,AUTO,Cube,$0.004522
251,TEN,Tokenomy,$0.151909
252,BLOCK,Blocknet,$5.58
253,ENJ,Enjin Coin,$0.038588
254,XET,ETERNAL TOKEN,$0.480117
255,SAFEX,Safe Exchange...,$0.018640
256,SOC,All Sports,$0.019543
257,TNB,Time New Bank,$0.012114
258,NCASH,Nucleus Vision,$0.006291
259,ANT,Aragon,$1.00
260,C20,CRYPTO20,$0.699420
261,ATX,Aston,$0.033953
262,PPC,Peercoin,$1.12
263,MTC,Docademic,$0.126651
264,DAX,DAEX,$0.074239
265,LKY,Linkey,$0.774608
266,BFT,BnkToTheFuture,$0.043056
267,TPAY,TokenPay,$1.74
268,QSP,Quantstamp,$0.043406
269,NEBL,Neblio,$1.99
270,EDO,Eidoo,$0.899418
271,NEC,Nectar,$0.318744
272,EDG,Edgeless,$0.271969
273,CND,Cindicator,$0.017865
274,CS,Credits,$0.183608
275,DATA,Streamr DATAcoin,$0.037545
276,UNO,Unobtanium,$127.17
277,BOS,BOScoin,$0.056223
278,PART,Particl,$3.11
279,BLZ,Bluzelle,$0.129276
280,AGI,SingularityNET,$0.045441
281,XPM,Primecoin,$0.984008
282,POE,Po.et,$0.010159
283,NMC,Namecoin,$1.60
284,GVT,Genesis Vision,$6.31
285,R,Revain,$0.125576
286,BCO,BridgeCoin,$0.865448
287,FXT,FuzeX,$0.031375
288,MEDX,MediBloc [ERC20],$0.007300
289,BCI,Bitcoin Interest,$1.25
290,LCC,Litecoin Cash,$0.039069
291,QKC,QuarkChain,$0.030460
292,GO,GoChain,$0.045230
293,ACT,Achain,$0.034713
294,SMT,SmartMesh,$0.015819
295,XWC,WhiteCoin,$0.089420
296,TRUE,TrueChain,$0.479027
297,BHPC,BHPCash,$1.06
298,DTR,Dynamic Tradi...,$0.018153
299,UBQ,Ubiq,$0.523007
300,TKY,THEKEY,$0.004330
301,TEL,Telcoin,$0.000678
302,MOD,Modum,$1.01
303,SRN,SIRIN LABS Token,$0.092836
304,BITCNY,bitCNY,$0.155395
305,POA,POA Network,$0.095731
306,SNM,SONM,$0.058174
307,AMB,Ambrosus,$0.143784
308,RDN,Raiden Networ...,$0.413173
309,DBC,DeepBrain Chain,$0.013700
310,VEE,BLOCKv,$0.010400
311,BAY,BitBay,$0.020013
312,GNX,Genaro Network,$0.062745
313,SPHTX,SophiaTX,$0.103192
314,MDS,MediShares,$0.019290
315,BTCD,BitcoinDark,$15.44
316,GTC,Game.com,$0.025914
317,VIA,Viacoin,$0.851769
318,XAS,Asch,$0.209986
319,DEW,DEW,$0.188120
320,RKT,Rock,$0.045829
321,WGR,Wagerr,$0.105258
322,XDN,DigitalNote,$0.002762
323,IHT,IHT Real Esta...,$0.036082
324,QRL,Quantum Resis...,$0.360892
325,PLR,Pillar,$0.071825
326,BTX,Bitcore,$1.18
327,LEO,LEOcoin,$0.181263
328,DBET,DecentBet,$0.139129
329,STQ,Storiqa,$0.001845
330,BTO,Bottos,$0.035100
331,KICK,KickCoin,$0.034263
332,NAV,NavCoin,$0.281978
333,EDR,Endor Protocol,$0.032277
334,UCASH,UNIVERSAL CASH,$0.002119
335,EMC2,Einsteinium,$0.078970
336,MTL,Metal,$0.667795
337,LYL,LoyalCoin,$0.003434
338,BURST,Burst,$0.008567
339,ECA,Electra,$0.000619
340,RUFF,Ruff,$0.017920
341,EOSDAC,eosDAC,$0.025214
342,MFT,Mainframe,$0.006540
343,ZPT,Zeepin,$0.033229
344,PRE,Presearch,$0.107107
345,CPC,CPChain,$0.043850
346,ABT,Arcblock,$0.176442
347,ION,ION,$0.760836
348,DCC,Distributed C...,$0.011554
349,KEY,Selfkey,$0.006666
350,NGC,NAGA,$0.280641
351,NEU,Neumark,$0.555979
352,MNX,MinexCoin,$3.84
353,PURA,Pura,$0.090722
354,OCN,Odyssey,$0.003320
355,NANJ,NANJCOIN,$0.000811
356,SLS,SaluS,$15.43
357,LGO,LGO Exchange,$0.121899
358,AST,AirSwap,$0.103421
359,GAME,GameCredits,$0.240331
360,SBD,Steem Dollars,$0.988256
361,IOTX,IoTeX,$0.013398
362,PHX,Red Pulse Pho...,$0.018317
363,LEND,ETHLend,$0.013732
364,EKT,EDUCare,$0.033197
365,SCRL,Scroll,$0.104945
366,COV,Covesting,$0.852792
367,TCT,TokenClub,$0.030948
368,$PAC,PACcoin,$0.003342
369,JNT,Jibrel Network,$0.092491
370,PPY,Peerplays,$3.28
371,CSC,CasinoCoin,$0.000408
372,DNT,district0x,$0.024257
373,GCR,Global Curren...,$0.137710
374,EURS,STASIS EURS,$1.16
375,LBA,Libra Credit,$0.049132
376,SPANK,SpankChain,$0.046892
377,TERN,Ternio,$0.034238
378,ADX,AdEx,$0.190790
379,SOAR,Soarcoin,$0.013003
380,SNGLS,SingularDTV,$0.023272
381,REN,Republic Prot...,$0.023757
382,TRAC,OriginTrail,$0.049716
383,TIO,Trade Token,$0.151267
384,BAX,BABB,$0.000578
385,XSN,Stakenet,$0.188860
386,PAYX,Paypex,$0.195170
387,SEELE,Seele,$0.029286
388,WINGS,Wings,$0.146628
389,MGO,MobileGo,$0.133827
390,QLC,QLC Chain,$0.054186
391,SPD,SPINDLE,$0.003056
392,BOX,ContentBox,$0.020551
393,ITC,IoT Chain,$0.204404
394,FAIR,FairCoin,$0.236414
395,HVN,Hive Project,$0.033370
396,MED,MediBloc [QRC20],$0.004217
397,MSP,Mothership,$0.089290
398,APIS,APIS,$0.002828
399,SKB,Sakura Bloom,$0.004818
400,MWAT,Restart Energ...,$0.029175
401,PAI,PCHAIN,$0.028182
402,INK,Ink,$0.026575
403,GIN,GINcoin,$4.22
404,ECC,ECC,$0.000474
405,COB,Cobinhood,$0.031867
406,CREDO,Credo,$0.021176
407,TOMO,TomoChain,$0.211684
408,VITE,VITE,$0.045888
409,OST,OST,$0.031187
410,LINDA,Linda,$0.001279
411,NKN,NKN,$0.068377
412,MDA,Moeda Loyalty...,$0.587793
413,XBY,XTRABYTES,$0.026815
414,DGTX,Digitex Futures,$0.016420
415,RNT,OneRoot Network,$0.046981
416,BITG,Bitcoin Green,$2.44
417,RNTB,BitRent,$0.013423
418,REPO,REPO,$0.102641
419,XCP,Counterparty,$4.31
420,BITUSD,bitUSD,$1.08
421,AEON,Aeon,$0.704396
422,INT,Internet Node...,$0.036506
423,MOBI,Mobius,$0.028653
424,UTK,UTRUST,$0.034811
425,WPR,WePower,$0.022776
426,MET,Metronome,$1.34
427,FTC,Feathercoin,$0.051000
428,RCN,Ripio Credit ...,$0.021820
429,CLOAK,CloakCoin,$2.07
430,CNN,Content Neutr...,$0.000615
431,NLG,Gulden,$0.025486
432,RFR,Refereum,$0.004391
433,TKN,TokenCard,$0.430383
434,TTC,TTC Protocol,$0.045960
435,VULC,Vulcano,$0.001280
436,LYM,Lympo,$0.013467
437,NVC,Novacoin,$4.66
438,CPT,Cryptaur,$0.001390
439,EXC,Eximchain,$0.147579
440,SXDT,Spectre.ai Di...,$0.120967
441,BWK,Bulwark,$0.897601
442,WABI,WaBi,$0.216933
443,DTA,DATA,$0.002111
444,XYO,XYO Network,$0.002119
445,CAS,Cashaa,$0.020175
446,DCT,DECENT,$0.188244
447,LPC,Lightpaycoin,$5.59
448,LBC,LBRY Credits,$0.051557
449,ATN,ATN,$0.113573
450,APPC,AppCoins,$0.095116
451,INS,INS Ecosystem,$0.313772
452,CMCT,Crowd Machine,$0.020196
453,HMQ,Humaniq,$0.050207
454,ART,Maecenas,$0.235805
455,RMT,SureRemit,$0.018344
456,XP,Experience Po...,$0.000038
457,SHIFT,Shift,$0.733538
458,PPP,PayPie,$0.106860
459,PHR,Phore,$0.615241
460,NPW,New Power Coin,$0.784824
461,HOT,Hydro Protocol,$0.012345
462,EDR,E-Dinar Coin,$0.009765
463,PST,Primas,$0.162770
464,DMT,DMarket,$0.170757
465,DIME,Dimecoin,$0.000016
466,POT,PotCoin,$0.038350
467,FLO,FLO,$0.057805
468,ADT,adToken,$0.013918
469,SCR,Scorum Coins,$0.284574
470,TNT,Tierion,$0.019381
471,CLAM,Clams,$2.60
472,GRC,GridCoin,$0.021211
473,DPY,Delphy,$0.186860
474,CPX,Apex,$0.018683
475,HYDRO,Hydro,$0.002990
476,SWFTC,SwftCoin,$0.002210
477,COSM,Cosmo Coin,$0.027482
478,BMC,Blackmoon,$0.362768
479,PEPECASH,Pepe Cash,$0.011297
480,XEL,Elastic,$0.085948
481,EVN,Envion,$0.070726
482,THC,HempCoin,$0.032440
483,ARB,ARBITRAGE,$2.17
484,FOTA,Fortuna,$0.018596
485,MER,Mercury,$0.077346
486,LA,LATOKEN,$0.094729
487,SPC,SpaceChain,$0.014896
488,SLT,Smartlands,$1.50
489,AURA,Aurora DAO,$0.056948
490,YEE,YEE,$0.005578
491,BIS,Bismuth,$0.627309
492,DADI,DADI,$0.101568
493,IVY,Ivy,$0.025273
494,UKG,Unikoin Gold,$0.053336
495,EGT,Egretia,$0.002734
496,LUN,Lunyr,$3.27
497,HAV,Havven,$0.118423
498,BBC,TraDove B2BCoin,$0.014996
499,RMC,Russian Miner...,$4970.52
500,CDT,Blox,$0.011152
501,FNKOS,FNKOS,$0.054184
502,DMD,Diamond,$2.55
503,COSS,COSS,$0.062440
504,QAU,Quantum,$0.098712
505,EVX,Everex,$0.445941
506,XRL,Rialto,$0.090620
507,DOCK,Dock,$0.016770
508,TAU,Lamden,$0.050380
509,B2B,B2BX,$0.435555
510,YOYOW,YOYOW,$0.025585
511,FUEL,Etherparty,$0.013674
512,OPTI,OptiToken,$0.319819
513,MOT,Olympus Labs,$0.186120
514,RVR,RevolutionVR,$0.033901
515,TAAS,TaaS,$0.868037
516,ZCO,Zebi,$0.014718
517,HTML,HTMLCOIN,$0.000133
518,AMP,Synereo,$0.069047
519,NMR,Numeraire,$5.15
520,GOT,GoNetwork,$0.133094
521,UGC,ugChain,$0.012156
522,ORME,Ormeus Coin,$0.403492
523,ZRC,ZrCoin,$1.75
524,EVR,Everus,$0.013069
525,TMT,TRAXIA,$0.013873
526,BANCA,Banca,$0.000378
527,UQC,Uquid Coin,$0.676154
528,LCS,LocalCoinSwap,$0.169847
529,COLX,ColossusXT,$0.000607
530,SWM,Swarm,$0.131375
531,PRO,Propy,$0.342835
532,BCPT,BlockMason Cr...,$0.089991
533,PASC,Pascal Coin,$0.297525
534,NIX,NIX,$0.167697
535,VIB,Viberate,$0.038223
536,ZPR,ZPER,$0.005917
537,VIBE,VIBE,$0.032607
538,AU,AurumCoin,$21.78
539,XDCE,XinFin Network,$0.001709
540,MLM,MktCoin,$0.005583
541,LET,LinkEye,$0.010669
542,TFD,TE-FOOD,$0.012875
543,DAT,Datum,$0.007046
544,DEV,DeviantCoin,$0.609980
545,ABYSS,The Abyss,$0.028372
546,AAC,Acute Angle C...,$0.025090
547,XLQ,ALQO,$0.114502
548,SENT,Sentinel,$0.003106
549,NCT,PolySwarm,$0.003995
550,PLBT,Polybius,$1.55
551,BLK,BlackCoin,$0.079893
552,BITB,Bean Cash,$0.002350
553,CFI,Cofound.it,$0.018919
554,HMC,Hi Mutual Soc...,$0.015189
555,OCT,OracleChain,$0.204527
556,BKX,Bankex,$0.081989
557,BZNT,Bezant,$0.025375
558,DIVX,Divi,$0.976925
559,HST,Decision Token,$0.188084
560,1ST,FirstBlood,$0.069578
561,BBR,Boolberry,$0.497007
562,DIM,DIMCOIN,$0.002829
563,BRM,BrahmaOS,$0.009604
564,QUN,QunQun,$0.008388
565,XSPEC,Spectrecoin,$0.275856
566,ZCN,0chain,$0.142336
567,VRC,VeriCoin,$0.182756
568,GUP,Matchpool,$0.075003
569,SRCOIN,SRCOIN,$0.001113
570,MOC,Mossland,$0.035676
571,CAPP,Cappasity,$0.011239
572,BCA,Bitcoin Atom,$0.302554
573,KNT,Kora Network ...,$0.018327
574,DATX,DATx,$0.003939
575,RADS,Radium,$1.55
576,MOON,Mooncoin,$0.000024
577,BLT,Bloom,$0.113135
578,PRL,Oyster,$0.063628
579,DAG,Constellation,$0.008571
580,DICE,Etheroll,$0.769632
581,UP,UpToken,$0.036583
582,CBC,CashBet Coin,$0.053892
583,XMX,XMax,$0.000760
584,INCNT,Incent,$0.115303
585,ONION,DeepOnion,$0.334920
586,FLASH,Flash,$0.005843
587,ZMN,ZMINE,$0.037883
588,LOC,LockTrip,$0.549459
589,PRA,ProChain,$0.102715
590,TIX,Blocktix,$0.126829
591,TRIG,Triggers,$0.156586
592,NLC2,NoLimitCoin,$0.023706
593,DYN,Dynamic,$0.971315
594,MTH,Monetha,$0.022727
595,SNC,SunContract,$0.041232
596,SLR,SolarCoin,$0.108859
597,IOC,I/O Coin,$0.288802
598,PBT,Primalbase Token,$3894.31
599,UUU,U Network,$0.000825
600,ELEC,Electrify.Asia,$0.010821
601,CHSB,SwissBorg,$0.008400
602,DXT,Datawallet,$0.012371
603,BPT,Blockport,$0.091129
604,ZSC,Zeusshield,$0.004178
605,CRW,Crown,$0.241928
606,AXPR,aXpire,$0.018034
607,DTB,Databits,$0.209952
608,PCH,POPCHAIN,$0.015397
609,EXP,Expanse,$0.451055
610,GEN,DAOstack,$0.123396
611,NPX,NaPoleonX,$0.186085
612,UPP,Sentinel Prot...,$0.025395
613,CSNO,BitDice,$0.067163
614,CV,carVertical,$0.000790
615,TIME,Chronobank,$6.58
616,MTN,Medicalchain,$0.025185
617,GAM,Gambit,$4.03
618,ERO,Eroscoin,$0.024847
619,LUX,LUXCoin,$1.96
620,CXO,CargoX,$0.035542
621,XES,Proxeus,$0.022416
622,XSH,SHIELD,$0.008851
623,OAX,OAX,$0.180604
624,ETK,EnergiToken,$0.003299
625,ALX,ALAX,$0.013397
626,BTT,Blocktrade,$0.077406
627,SIB,SIBCoin,$0.262280
628,MRK,MARK.SPACE,$0.009183
629,STK,STK,$0.012866
630,XMY,Myriad,$0.002742
631,AIDOC,AI Doctor,$0.009889
632,OMNI,Omni,$7.74
633,RTE,Rate3,$0.010088
634,RISE,Rise,$0.033710
635,SSC,SelfSell,$0.011045
636,DNA,EncrypGen,$0.068805
637,NOTE,DNotes,$0.031289
638,BET,DAO.Casino,$0.025166
639,XAUR,Xaurum,$0.036976
640,NBC,Niobium Coin,$0.087326
641,NTK,Neurotoken,$0.051175
642,SHIP,ShipChain,$0.020553
643,MGD,MassGrid,$0.080570
644,NYC,NewYorkCoin,$0.000030
645,STX,Stox,$0.083920
646,DLT,Agrello,$0.047110
647,ROCK2,ICE ROCK MINING,$0.255715
648,TNC,Trinity Netwo...,$0.011937
649,CLO,Callisto Network,$0.006938
650,EVC,EventChain,$0.125593
651,IXT,IXT,$0.109392
652,MUE,MonetaryUnit,$0.028157
653,OLT,OneLedger,$0.010224
654,GET,GET Protocol,$0.339517
655,SWTH,Switcheo,$0.007392
656,ARN,Aeron,$0.296530
657,SKM,Skrumble Network,$0.005420
658,XST,Stealth,$0.129721
659,DBIX,DubaiCoin,$1.72
660,PAT,Patron,$0.015047
661,PND,Pandacoin,$0.000115
662,DOT,Dotcoin,$0.011955
663,BZ,Bit-Z Token,$0.131323
664,REM,Remme,$0.006162
665,RMESH,RightMesh,$0.065720
666,PTOY,Patientory,$0.052085
667,CVN,CVCoin,$0.363181
668,CAG,Change,$0.097749
669,GOLOS,Golos,$0.028793
670,LOKI,Loki,$0.133831
671,PRG,Paragon,$0.053368
672,QBT,Qbao,$0.053755
673,RLX,Relex,$0.003573
674,SEM,Semux,$0.447086
675,SHND,StrongHands,$2.2e-07
676,OMX,Shivom,$0.006671
677,DRT,DomRaider,$0.005776
678,BOT,Bodhi,$0.085255
679,RVT,Rivetz,$0.127933
680,POLIS,Polis,$0.969673
681,MINT,Mintcoin,$0.000134
682,EXY,Experty,$0.123503
683,WCT,Waves Communi...,$0.335187
684,DEB,Debitum,$0.017300
685,SNTR,Silent Notary,$0.000040
686,GRFT,Graft,$0.009294
687,NKC,Nework,$0.022327
688,UBT,Unibright,$0.023608
689,BMX,BitMart Token,$0.028818
690,REBL,REBL,$0.019022
691,IPL,VouchForMe,$0.016103
692,PKC,PikcioChain,$0.076668
693,ADH,AdHive,$0.028621
694,LMC,LoMoCoin,$0.013231
695,HXX,Hexx,$1.83
696,BBN,Banyan Network,$0.010830
697,OK,OKCash,$0.042632
698,AC3,AC3,$0.045611
699,BQ,bitqy,$0.001007
700,POLL,ClearPoll,$0.445612
701,FORK,Forkcoin,$0.695938
702,NIM,Nimiq,$0.001525
703,MVP,Merculet,$0.001803
704,AVT,Aventus,$0.516727
705,EFX,Effect.AI,$0.014975
706,ECOM,Omnitude,$0.066119
707,ENRG,Energycoin,$0.025253
708,SEQ,Sequence,$0.067096
709,TUBE,BitTube,$0.037669
710,IDH,indaHash,$0.007679
711,ACAT,Alphacat,$0.001092
712,MLN,Melon,$5.08
713,NEOS,NeosCoin,$0.753083
714,IFT,InvestFeed,$0.015683
715,AUR,Auroracoin,$0.263649
716,NBAI,Nebula AI,$0.002565
717,GEM,Gems ,$0.002599
718,MUSIC,Musicoin,$0.003822
719,COFI,CoinFi,$0.016988
720,ESP,Espers,$0.000133
721,CHP,CoinPoker,$0.009446
722,FLIXX,Flixxo,$0.036834
723,LIF,Winding Tree,$0.146213
724,AID,AidCoin,$0.069455
725,LNC,Linker Coin,$0.025602
726,AIR,AirToken,$0.002749
727,EXRN,EXRNchain,$0.000031
728,BERRY,Rentberry,$0.009511
729,PCL,Peculium,$0.002818
730,NCC,NeuroChain,$0.018224
731,PIRL,Pirl,$0.114901
732,FACE,Faceter,$0.006009
733,TFL,TrueFlip,$0.446700
734,APH,Aphelion,$0.069910
735,GCC,Global Crypto...,$0.002143
736,XNK,Ink Protocol,$0.015039
737,CCCX,Clipper Coin,$0.003618
738,BSD,BitSend,$0.134643
739,LATX,LatiumX,$0.032434
740,MDT,Measurable Da...,$0.007165
741,TSL,Energo,$0.004502
742,HBT,Hubii Network,$0.199953
743,SWT,Swarm City,$0.326212
744,LIFE,LIFE,$0.000115
745,AIT,AICHAIN,$0.005019
746,CURE,Curecoin,$0.111456
747,FDZ,Friendz,$0.005272
748,CEEK,CEEK VR,$0.006562
749,HBZ,Helbiz,$0.004233
750,TOA,ToaCoin,$0.001011
751,TTT,TrustNote,$0.008413
752,KRM,Karma,$0.001442
753,LEV,Leverj,$0.021496
754,ARO,Arionum,$0.033889
755,CLN,Colu Local Ne...,$0.021400
756,J8T,JET8,$0.005328
757,BEZ,Bezop,$0.048763
758,ANC,Anoncoin,$1.16
759,MYST,Mysterium,$0.103424
760,HKN,Hacken,$0.453880
761,COVAL,Circuits of V...,$0.002418
762,SOUL,Phantasma,$0.041348
763,XHV,Haven Protocol,$0.544373
764,PAL,PolicyPal Net...,$0.006330
765,OLE,Olive,$0.008570
766,CPC,Capricoin,$1.19
767,EKO,EchoLink,$0.006353
768,TX,TransferCoin,$0.357976
769,BDG,BitDegree,$0.006610
770,ALIS,ALIS,$0.060443
771,1WO,1World,$0.113355
772,DGX,Digix Gold Token,$41.21
773,MTC,MTC Mesh Network,$0.008463
774,SS,Sharder,$0.008147
775,PINK,PinkCoin,$0.005966
