,ABV,Coin,Market Cap,Price
175,GXS,GXChain,85919047.929,$1.43
176,ZEN,Horizen,85618371.5848,$18.58
177,NAS,Nebulas,80672779.1483,$1.77
178,MANA,Decentraland,80494638.7728,$0.076651
179,RDD,ReddCoin,79802350.1612,$0.002770
180,TTU,TaTaTu,79034069.4144,$0.817076
181,ELA,Elastos,76482706.8106,$9.65
182,KIN,Kin,75263230.6134,$0.000100
183,QASH,QASH,74799868.3324,$0.213714
184,POWR,Power Ledger,73069558.508,$0.193071
185,TUSD,TrueUSD,73046878.6993,$1.00
186,KNC,Kyber Network,71833440.1334,$0.535540
187,NOAH,Noah Coin,71483260.4297,$0.002187
188,NXT,Nxt,70656446.2134,$0.070727
189,XZC,ZCoin,70046968.6818,$12.67
190,NULS,Nuls,69879012.7224,$1.75
191,MCO,MCO,68675779.7089,$4.35
192,WAX,WAX,68431662.9054,$0.073515
193,LOOM,Loom Network,68326606.2466,$0.115739
194,CMT,CyberMiles,67915349.4727,$0.097696
195,LRC,Loopring,67311913.1836,$0.117663
196,AOA,Aurora,67152235.6871,$0.019407
197,PIVX,PIVX,66903853.8092,$1.18
198,THETA,Theta Token,66290279.6116,$0.099834
199,EMC,Emercoin,65761753.8912,$1.56
200,PAY,TenX,65275965.5114,$0.597175
201,GAS,Gas,64385530.8914,$6.36
202,ENG,Enigma,61474542.9989,$0.821455
203,POLY,Polymath,59945471.8042,$0.214831
204,CTXC,Cortex,56856810.1213,$0.379571
205,SUB,Substratum,56556436.0461,$0.147659
206,SYS,Syscoin,55161309.6677,$0.102308
207,ODE,ODEM,53683338.7777,$0.299728
208,VERI,Veritaseum,53328790.9288,$26.18
209,NXS,Nexus,52860260.4701,$0.904413
210,GBYTE,Byteball Bytes,51588058.0858,$77.83
211,BIX,Bibox Token,51064759.6244,$0.498976
212,DROP,Dropil,50974101.9895,$0.002386
213,FCT,Factom,49805961.5841,$5.70
214,CVC,Civic,49741284.5368,$0.145145
215,DAI,Dai,48644818.2902,$0.999995
216,DENT,Dent,46591662.6424,$0.002702
217,ICN,Iconomi,46278826.3997,$0.467792
218,ETN,Electroneum,45955603.3582,$0.005912
219,DRGN,Dragonchain,45678160.7633,$0.191585
220,GTO,Gifto,43743068.1279,$0.082875
221,DDD,Scry.info,43534224.6268,$0.098929
222,GRS,Groestlcoin,43122042.4085,$0.609274
223,SMART,SmartCash,43109516.9112,$0.040910
224,STORJ,Storj,43062848.0632,$0.317134
225,SKY,Skycoin,41995110.2652,$4.20
226,RVN,Ravencoin,41428575.8617,$0.024418
227,SAN,Santiment Net...,40670157.9572,$0.649057
228,SALT,SALT,40559697.9786,$0.564518
229,PZM,PRIZM,40048732.7798,$0.706867
230,WICC,WaykiChain,38619277.9209,$0.220194
231,DIG,Dignity,38439739.9319,$0.073493
232,MAN,Matrix AI Net...,38419918.5956,$0.256133
233,STORM,Storm,38323977.3085,$0.008498
234,ETHOS,Ethos,37565949.4301,$0.478183
235,GNO,Gnosis,37227944.9868,$33.70
236,IGNIS,Ignis,35862588.2645,$0.047117
237,CENNZ,Centrality,35704814.4454,$0.045005
238,FSN,Fusion,35423102.9931,$1.19
239,AUTO,Cube,34892543.7245,$0.005150
240,CVT,CyberVein,34872337.6637,$0.032940
241,NTY,Nexty,34791243.9821,$0.000237
242,VTC,Vertcoin,34522657.4104,$0.754555
243,HPB,High Performa...,34045637.2715,$0.912687
244,REQ,Request Network,33228312.8084,$0.045816
245,ZCL,ZClassic,32590068.8282,$6.89
246,SAFEX,Safe Exchange...,32500912.7904,$0.021061
247,ENJ,Enjin Coin,32163323.9728,$0.042265
248,NEXO,Nexo,32154579.1457,$0.057419
249,TEN,Tokenomy,32073259.532,$0.160366
250,CRPT,Crypterium,31683944.5735,$0.399563
251,RLC,iExec RLC,31581238.4083,$0.394416
252,BRD,Bread,31580501.3711,$0.355901
253,NCASH,Nucleus Vision,31177428.3012,$0.006858
254,BLOCK,Blocknet,30040454.1405,$5.66
255,PPC,Peercoin,29971225.0834,$1.20
256,ANT,Aragon,29506130.7799,$1.04
257,C20,CRYPTO20,29310294.2536,$0.726517
258,GO,GoChain,28713360.2199,$0.056944
259,ATX,Aston,28260673.8625,$0.034297
260,XET,ETERNAL TOKEN,28258639.7969,$0.467549
261,TNB,Time New Bank,28245426.8237,$0.011961
262,SKB,Sakura Bloom,28158874.4829,$0.010902
263,NEBL,Neblio,28053562.1026,$2.08
264,CND,Cindicator,28030459.5039,$0.019385
265,DAX,DAEX,27880959.4548,$0.075288
266,XWC,WhiteCoin,27824801.7791,$0.111490
267,NEC,Nectar,27592183.0004,$0.335048
268,PART,Particl,27559277.8085,$3.42
269,BCI,Bitcoin Interest,27303178.9698,$1.49
270,BFT,BnkToTheFuture,26983579.7324,$0.042832
271,SOC,All Sports,26924466.1983,$0.018386
272,LCC,Litecoin Cash,26849413.8666,$0.045946
273,EDO,Eidoo,26231707.1134,$0.896459
274,AGI,SingularityNET,26227027.0335,$0.048598
275,SMT,SmartMesh,26200386.9327,$0.018533
276,UNO,Unobtanium,25899955.8144,$130.05
277,EDG,Edgeless,25727870.5719,$0.269009
278,CS,Credits,25545995.8293,$0.183573
279,QKC,QuarkChain,25229976.9097,$0.033716
280,DATA,Streamr DATAcoin,25067250.3726,$0.037019
281,LKY,Linkey,25056744.6609,$0.712342
282,BCO,BridgeCoin,25009281.0197,$0.926270
283,QSP,Quantstamp,24937100.6766,$0.040396
284,BHPC,BHPCash,24602108.6647,$1.11
285,PLR,Pillar,24485494.3364,$0.094412
286,BLZ,Bluzelle,24400855.2942,$0.127607
287,ACT,Achain,24258707.7443,$0.036973
288,FXT,FuzeX,24247188.7361,$0.032665
289,UBQ,Ubiq,24242807.8621,$0.573329
290,R,Revain,24058586.2169,$0.129035
291,BOS,BOScoin,23983278.6891,$0.053711
292,TPAY,TokenPay,23750532.244,$1.53
293,TRUE,TrueChain,23587923.7826,$0.507827
294,POE,Po.et,23362795.2256,$0.009995
295,TEL,Telcoin,22523355.1318,$0.000703
296,NMC,Namecoin,22522090.2507,$1.53
297,AMB,Ambrosus,22447758.9613,$0.155250
298,XPM,Primecoin,22335740.5498,$0.902339
299,GVT,Genesis Vision,22273228.2189,$5.98
300,MEDX,MediBloc [ERC20],21746820.1853,$0.006881
301,RDN,Raiden Networ...,21562633.8076,$0.429801
302,WGR,Wagerr,21518034.8329,$0.117585
303,BITCNY,bitCNY,21461230.0945,$0.153099
304,VIA,Viacoin,21356414.6947,$0.925183
305,VEE,BLOCKv,21306294.9585,$0.010821
306,EDR,Endor Protocol,21287593.1133,$0.039674
307,SRN,SIRIN LABS Token,21284582.3546,$0.092841
308,DTR,Dynamic Tradi...,21233891.6348,$0.017433
309,MDS,MediShares,20897035.5128,$0.020262
310,RKT,Rock,20838573.8792,$0.046589
311,TKY,THEKEY,20605477.7407,$0.004072
312,XAS,Asch,20490852.6018,$0.219493
313,BTCD,BitcoinDark,20394217.983,$15.82
314,DBC,DeepBrain Chain,20046980.0157,$0.013365
315,SNM,SONM,19934635.866,$0.055436
316,GNX,Genaro Network,19873850.366,$0.060712
317,BAY,BitBay,19671670.0069,$0.019436
318,SPHTX,SophiaTX,19670153.137,$0.101796
319,XDN,DigitalNote,19609886.9406,$0.002839
320,POA,POA Network,19578905.6939,$0.089389
321,MOD,Modum,19314397.9859,$0.908220
322,GTC,Game.com,19148698.914,$0.025148
323,QRL,Quantum Resis...,18698969.531,$0.359596
324,MFT,Mainframe,18535389.0317,$0.007289
325,BTO,Bottos,18491492.8902,$0.036259
326,UCASH,UNIVERSAL CASH,18441505.7362,$0.002260
327,STQ,Storiqa,18398317.9297,$0.001873
328,BTX,Bitcore,18354483.2839,$1.17
329,CPC,CPChain,18236354.2449,$0.048402
330,MTC,Docademic,18159283.2344,$0.082307
331,WAB,WABnetwork,18137011.7575,$0.002009
332,DEW,DEW,18027438.7457,$0.174609
333,ABT,Arcblock,17945505.612,$0.192033
334,SCRL,Scroll,17797579.7596,$0.125040
335,BURST,Burst,17729408.8839,$0.008963
336,EMC2,Einsteinium,17476625.8491,$0.080354
337,PURA,Pura,17412389.0098,$0.099789
338,SLS,SaluS,17185389.9775,$17.00
339,PRE,Presearch,17172451.0745,$0.110790
340,DBET,DecentBet,17134025.3074,$0.131229
341,RUFF,Ruff,17108394.8494,$0.018400
342,COV,Covesting,17069349.442,$0.975391
343,KICK,KickCoin,17044441.0653,$0.032778
344,GCR,Global Curren...,17020410.5533,$0.162804
345,NAV,NavCoin,16888482.2637,$0.267143
346,ION,ION,16876594.3089,$0.787197
347,ECA,Electra,16850849.7295,$0.000615
348,PPP,PayPie,16816456.4694,$0.203836
349,MTL,Metal,16690815.5019,$0.650237
350,EOSDAC,eosDAC,16631112.7469,$0.025170
351,NGC,NAGA,16572068.7944,$0.287349
352,LYL,LoyalCoin,16430562.1883,$0.003330
353,KEY,Selfkey,16324946.2366,$0.006715
354,OCN,Odyssey,16318157.2967,$0.003435
355,ITC,IoT Chain,16204459.0626,$0.263031
356,LEO,LEOcoin,16139560.1295,$0.158630
357,MNX,MinexCoin,16062160.2733,$3.86
358,JNT,Jibrel Network,16044837.8286,$0.100280
359,DCC,Distributed C...,16034212.1316,$0.011417
360,NEU,Neumark,15658974.573,$0.544754
361,AST,AirSwap,15646997.7131,$0.104313
362,LGO,LGO Exchange,15557690.3919,$0.121759
363,UTT,United Trader...,15515325.0607,$0.415520
364,TCT,TokenClub,15496034.4553,$0.032188
365,SBD,Steem Dollars,15385827.2069,$0.993760
366,CSC,CasinoCoin,15376299.9793,$0.000427
367,ZPT,Zeepin,15333752.2262,$0.030668
368,IOTX,IoTeX,15234679.9294,$0.013352
369,XSN,Stakenet,15167657.6532,$0.214352
370,XBY,XTRABYTES,15037345.4869,$0.034971
371,SEELE,Seele,14925251.7985,$0.025966
372,$PAC,PACcoin,14888366.108,$0.003325
373,LEND,ETHLend,14793510.5691,$0.013449
374,NANJ,NANJCOIN,14793482.4564,$0.000764
375,GAME,GameCredits,14748132.8479,$0.229167
376,ADX,AdEx,14398199.918,$0.196079
377,EURS,STASIS EURS,14366445.3747,$1.17
378,DNT,district0x,14159020.7331,$0.023598
379,SOAR,Soarcoin,14083772.1278,$0.013088
380,PHX,Red Pulse Pho...,14074329.3131,$0.016965
381,QLC,QLC Chain,13925861.6663,$0.058024
382,SNGLS,SingularDTV,13902755.5447,$0.023171
383,REN,Republic Prot...,13893771.6225,$0.023770
384,ECC,ECC,13720483.9794,$0.000549
385,LBA,Libra Credit,13699004.3729,$0.047343
386,TOMO,TomoChain,13637276.1357,$0.247950
387,TRAC,OriginTrail,13523469.7441,$0.048653
388,TIO,Trade Token,13363968.5387,$0.148618
389,SPANK,SpankChain,13299007.9488,$0.044324
390,XCP,Counterparty,13232552.7326,$5.06
391,MDA,Moeda Loyalty...,13152126.5238,$0.670039
392,EKT,EDUCare,13085731.375,$0.029079
393,CPT,Cryptaur,13024531.8146,$0.001809
394,WINGS,Wings,12999913.456,$0.144913
395,HVN,Hive Project,12853684.7706,$0.034276
396,MSP,Mothership,12804716.9134,$0.091462
397,OST,OST,12781182.489,$0.034351
398,SPD,SPINDLE,12585745.3884,$0.003018
399,MED,MediBloc [QRC20],12443942.7997,$0.004195
400,AEON,Aeon,12420163.2756,$0.784524
401,COB,Cobinhood,12367980.8295,$0.033309
402,BAX,BABB,12342038.2218,$0.000588
403,VITE,VITE,12106274.4883,$0.047745
404,BOX,ContentBox,12058387.9825,$0.019592
405,PAI,PCHAIN,12015962.8562,$0.027403
406,DGTX,Digitex Futures,11979550.1845,$0.017114
407,INT,Internet Node...,11973073.179,$0.039219
408,MOBI,Mobius,11955541.9869,$0.030970
409,FTC,Feathercoin,11670504.1604,$0.055372
410,TERN,Ternio,11628619.4518,$0.028417
411,RNT,OneRoot Network,11600410.4891,$0.047741
412,TTC,TTC Protocol,11599695.8766,$0.051473
413,MWAT,Restart Energ...,11578286.8677,$0.027388
414,BITG,Bitcoin Green,11497403.1242,$2.45
415,CLOAK,CloakCoin,11484246.5485,$2.22
416,RNTB,BitRent,11452384.933,$0.013605
417,NLG,Gulden,11382123.1809,$0.027551
418,MGO,MobileGo,11329056.0475,$0.115569
419,MET,Metronome,11300869.0054,$1.41
420,BITUSD,bitUSD,11300282.0237,$1.07
421,NKN,NKN,11171343.1463,$0.064733
422,CNN,Content Neutr...,11052166.5915,$0.000642
423,TKN,TokenCard,11030576.4605,$0.455850
424,UTK,UTRUST,11011222.795,$0.034976
425,XYO,XYO Network,10856925.5981,$0.002360
426,REPO,REPO,10734250.0628,$0.097621
427,WPR,WePower,10696711.5766,$0.022486
428,LINDA,Linda,10650990.227,$0.001178
429,RFR,Refereum,10496713.9461,$0.004401
430,BWK,Bulwark,10375475.2635,$0.938223
431,LBC,LBRY Credits,10066200.0566,$0.053926
432,HMQ,Humaniq,10056427.5834,$0.054275
433,DTA,DATA,10017049.7449,$0.002165
434,INK,Ink,9944523.41344,$0.021436
435,SXDT,Spectre.ai Di...,9928218.92853,$0.120967
436,DCT,DECENT,9881256.302,$0.192594
437,RCN,Ripio Credit ...,9841993.9827,$0.020021
438,APIS,APIS,9786087.18513,$0.002216
439,GIN,GINcoin,9757770.68029,$3.36
440,ATN,ATN,9628554.96178,$0.114214
441,NVC,Novacoin,9494506.83341,$4.38
442,FOTA,Fortuna,9478718.0343,$0.020760
443,TNT,Tierion,9474233.88549,$0.022111
444,INS,INS Ecosystem,9461359.93916,$0.312247
445,APPC,AppCoins,9433901.5802,$0.094288
446,SHIFT,Shift,9319339.85524,$0.753342
447,HYDRO,Hydro,9212233.99694,$0.003402
448,POT,PotCoin,9165147.89942,$0.041561
449,RBY,Rubycoin,9111849.22154,$0.350403
450,HOT,Hydro Protocol,9098348.35752,$0.012961
451,WABI,WaBi,9094204.01409,$0.200986
452,COSM,Cosmo Coin,8985432.29932,$0.030984
453,EXC,Eximchain,8981039.86124,$0.133435
454,CAS,Cashaa,8940761.07169,$0.018656
455,PST,Primas,8907915.39371,$0.169055
456,DMT,DMarket,8848970.76071,$0.176218
457,SLT,Smartlands,8770968.54904,$1.72
458,LPC,Lightpaycoin,8719346.50033,$4.78
459,IHT,IHT Real Esta...,8701626.71976,$0.016476
460,LYM,Lympo,8570732.96402,$0.011377
461,EDR,E-Dinar Coin,8560169.91427,$0.009659
462,SWFTC,SwftCoin,8560114.59468,$0.002352
463,PPY,Peerplays,8514310.85102,$1.90
464,ADT,adToken,8474105.6985,$0.014124
465,DADI,DADI,8455838.64472,$0.113488
466,RMT,SureRemit,8350813.04435,$0.016702
467,CMCT,Crowd Machine,8344210.66559,$0.017747
468,GRC,GridCoin,8329119.41673,$0.021340
469,DPY,Delphy,8274334.06343,$0.179886
470,XEL,Elastic,8256181.87147,$0.090058
471,CPX,Apex,8235546.84849,$0.018792
472,CLAM,Clams,8220448.90009,$2.57
473,BMC,Blackmoon,8170601.87483,$0.372788
474,NPW,New Power Coin,8117734.76417,$0.713967
475,DMD,Diamond,8103955.60214,$2.77
476,CREDO,Credo,8061673.22316,$0.014660
477,PHR,Phore,8045374.09748,$0.561234
478,EGT,Egretia,8022228.07184,$0.002904
479,MER,Mercury,8005736.46927,$0.080057
480,FUEL,Etherparty,7998282.29257,$0.015297
481,XP,Experience Po...,7963569.50206,$0.000033
482,LUN,Lunyr,7962865.37367,$3.47
483,ARB,ARBITRAGE,7933216.5975,$2.18
484,THC,HempCoin,7900391.57708,$0.032755
485,FLO,FLO,7887390.01229,$0.053981
486,XRL,Rialto,7861504.89476,$0.096836
487,PLBT,Polybius,7789384.19571,$1.96
488,TFD,TE-FOOD,7767710.79091,$0.015603
489,LA,LATOKEN,7739879.92178,$0.095510
490,AURA,Aurora DAO,7739042.82075,$0.057826
491,YEE,YEE,7718804.22925,$0.005654
492,BIS,Bismuth,7630225.51287,$0.626977
493,TAU,Lamden,7561156.33774,$0.053167
494,PEPECASH,Pepe Cash,7560966.23618,$0.010772
495,CDT,Blox,7539624.37399,$0.011264
496,PASC,Pascal Coin,7535723.88262,$0.336808
497,UKG,Unikoin Gold,7463305.26061,$0.052755
498,MOT,Olympus Labs,7423321.32392,$0.193935
499,EVN,Envion,7383880.26966,$0.066301
500,AU,AurumCoin,7381507.55878,$24.77
501,FNKOS,FNKOS,7320229.03736,$0.053199
502,YOYOW,YOYOW,7275020.49016,$0.024928
503,LCS,LocalCoinSwap,7254158.82978,$0.182193
504,HTML,HTMLCOIN,7238755.21709,$0.000137
505,UGC,ugChain,7190689.3507,$0.012641
506,AMP,Synereo,7189681.86154,$0.071377
507,SWM,Swarm,7184005.68533,$0.140550
508,EVX,Everex,7135047.89045,$0.432427
509,RVR,RevolutionVR,7110322.34774,$0.033859
510,DOCK,Dock,7109517.46246,$0.016577
511,VIBE,VIBE,7085916.7716,$0.035394
512,ZCO,Zebi,7076891.6197,$0.014776
513,BBR,Boolberry,7063163.97281,$0.589168
514,BBC,TraDove B2BCoin,7053366.02905,$0.014107
515,MOON,Mooncoin,7045208.85642,$0.000031
516,NIX,NIX,6980750.83077,$0.176221
517,HAV,Havven,6970560.08871,$0.109943
518,COLX,ColossusXT,6964661.93008,$0.000627
519,LET,LinkEye,6922563.3195,$0.011538
520,ZRC,ZrCoin,6921208.93888,$1.77
521,PRO,Propy,6846199.19996,$0.351174
522,IVY,Ivy,6777466.48813,$0.022644
523,DAT,Datum,6739914.69917,$0.007444
524,COSS,COSS,6727399.56314,$0.056623
525,EVR,Everus,6726369.37785,$0.012894
526,VIB,Viberate,6713142.78539,$0.038695
527,SPC,SpaceChain,6709633.12931,$0.013029
528,NCT,PolySwarm,6696673.10507,$0.004330
529,DIME,Dimecoin,6675890.16627,$0.000012
530,ZPR,ZPER,6635831.61984,$0.005941
531,PAYX,Paypex,6623957.43873,$0.096801
532,FLASH,Flash,6543675.51234,$0.007271
533,BITB,Bean Cash,6537777.96886,$0.002497
534,DAG,Constellation,6519584.39126,$0.010349
535,GOT,GoNetwork,6504727.64606,$0.125099
536,MLM,MktCoin,6498455.77033,$0.005615
537,BCPT,BlockMason Cr...,6488539.71903,$0.087864
538,OCT,OracleChain,6428587.17567,$0.214286
539,BKX,Bankex,6425924.99372,$0.086012
540,TAAS,TaaS,6403813.80041,$0.786130
541,NMR,Numeraire,6399367.72409,$4.74
542,TMT,TRAXIA,6332094.38011,$0.012912
543,BANCA,Banca,6317781.69475,$0.000353
544,BLK,BlackCoin,6282314.14259,$0.081538
545,DATX,DATx,6267278.59516,$0.004505
546,UQC,Uquid Coin,6259829.22875,$0.625983
547,HMC,Hi Mutual Soc...,6239695.7132,$0.015441
548,DIVX,Divi,6190644.73255,$1.00
549,BZNT,Bezant,6186911.29827,$0.023533
550,OPTI,OptiToken,6176214.71189,$0.276995
551,AAC,Acute Angle C...,6129193.39027,$0.024517
552,DIM,DIMCOIN,6118193.60417,$0.002910
553,XLQ,ALQO,6107040.37,$0.111400
554,CAPP,Cappasity,6079081.77113,$0.012281
555,CFI,Cofound.it,6074415.51785,$0.018691
556,XDCE,XinFin Network,6028365.25562,$0.001594
557,DXT,Datawallet,6025537.37075,$0.015441
558,IOC,I/O Coin,5996469.2033,$0.354345
559,PRL,Oyster,5986530.29585,$0.070457
560,KNT,Kora Network ...,5981656.45704,$0.019939
561,DEV,DeviantCoin,5941357.23047,$0.564246
562,VRC,VeriCoin,5923818.7307,$0.190189
563,RADS,Radium,5855032.01254,$1.66
564,QAU,Quantum,5845651.78438,$0.078080
